ANDALUCÍA	
    6.-TRÁFICO DE DROGAS (EU)	13.0	4.0	-69.2	
    7.-DAÑOS	224.0	229.0	2.2	
    8.-HURTOS	874.0	795.0	-9.0	
Provincia de JAÉN	
    1.-DELITOS Y FALTAS (EU)	4462.0	4527.0	1.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	1.0	-50.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	78.0	76.0	-2.6	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	219.0	313.0	42.9	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	84.0	98.0	16.7	
    6.-TRÁFICO DE DROGAS (EU)	14.0	24.0	71.4	
    7.-DAÑOS	551.0	551.0	0.0	
    8.-HURTOS	1292.0	1283.0	-0.7	
- Municipio de Jaén	
    1.-DELITOS Y FALTAS (EU)	1252.0	1250.0	-0.2	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	37.0	43.0	16.2	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	46.0	84.0	82.6	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	42.0	48.0	14.3	
    6.-TRÁFICO DE DROGAS (EU)	3.0	9.0	200.0	
    7.-DAÑOS	189.0	161.0	-14.8	
    8.-HURTOS	389.0	390.0	0.3	
- Municipio de Linares	
    1.-DELITOS Y FALTAS (EU)	525.0	533.0	1.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	13.0	9.0	-30.8	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	19.0	16.0	-15.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	11.0	10.0	-9.1	
    6.-TRÁFICO DE DROGAS (EU)	3.0	6.0	100.0	
    7.-DAÑOS	55.0	83.0	50.9	
    8.-HURTOS	196.0	195.0	-0.5	
Provincia de MÁLAGA	
    1.-DELITOS Y FALTAS (EU)	17987.0	17371.0	-3.4	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	7.0	250.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	348.0	372.0	6.9	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	1012.0	903.0	-10.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	597.0	535.0	-10.4	
    6.-TRÁFICO DE DROGAS (EU)	202.0	174.0	-13.9	
    7.-DAÑOS	1752.0	1826.0	4.2	
    8.-HURTOS	6100.0	6207.0	1.8	
- Municipio de Benalmádena	
    1.-DELITOS Y FALTAS (EU)	962.0	818.0	-15.0	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	13.0	12.0	-7.7	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	39.0	31.0	-20.5	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	30.0	25.0	-16.7	
    6.-TRÁFICO DE DROGAS (EU)	9.0	8.0	-11.1	
    7.-DAÑOS	129.0	111.0	-14.0	
    8.-HURTOS	299.0	270.0	-9.7	
- Municipio de Estepona	
    1.-DELITOS Y FALTAS (EU)	767.0	731.0	-4.7	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	2.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	12.0	6.0	-50.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	70.0	63.0	-10.0	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	29.0	23.0	-20.7	
    6.-TRÁFICO DE DROGAS (EU)	13.0	11.0	-15.4	
    7.-DAÑOS	88.0	97.0	10.2	
    8.-HURTOS	186.0	205.0	10.2	
- Municipio de Fuengirola	
    1.-DELITOS Y FALTAS (EU)	1423.0	1219.0	-14.3	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	1.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	32.0	25.0	-21.9	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	47.0	22.0	-53.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	40.0	48.0	20.0	
    6.-TRÁFICO DE DROGAS (EU)	20.0	21.0	5.0	
    7.-DAÑOS	125.0	116.0	-7.2	
    8.-HURTOS	601.0	492.0	-18.1	
- Municipio de Málaga	
    1.-DELITOS Y FALTAS (EU)	6168.0	5963.0	-3.3	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	1.0	2.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	136.0	182.0	33.8	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	165.0	139.0	-15.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	223.0	165.0	-26.0	
    6.-TRÁFICO DE DROGAS (EU)	73.0	50.0	-31.5	
    7.-DAÑOS	406.0	441.0	8.6	
    8.-HURTOS	2614.0	2708.0	3.6	
- Municipio de Marbella	
    1.-DELITOS Y FALTAS (EU)	2336.0	2507.0	7.3	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	52.0	45.0	-13.5	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	118.0	117.0	-0.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	92.0	114.0	23.9	
    6.-TRÁFICO DE DROGAS (EU)	19.0	18.0	-5.3	
    7.-DAÑOS	237.0	298.0	25.7	
    8.-HURTOS	748.0	842.0	12.6	
- Municipio de Mijas	
    1.-DELITOS Y FALTAS (EU)	1240.0	1077.0	-13.1	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
