Item;Serving Size;Calories;Calories from Fat;Total Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein;Category ID
Nonfat Latte with Sugar Free French Vanilla Syrup (Small);12 fl oz cup;140.0;0 cal;0,0;0.0;0.0;5;150;24;1;13;10;4
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium);16 fl oz cup;170.0;0 cal;0,0;0.0;0.0;5;180;30;1;16;12;4
Nonfat Latte with Sugar Free French Vanilla Syrup (Large);20 fl oz cup;220.0;0 cal;0,5;0.0;0.0;10;240;38;2;21;16;4
Mocha (Small);12 fl oz cup;340.0;100 cal;11,0;7.0;0.0;35;150;49;2;42;10;4
Mocha (Medium);16 fl oz cup;410.0;120 cal;14,0;8.0;0.0;40;190;60;2;53;13;4
Mocha (Large);20 fl oz cup;500.0;150 cal;17,0;10.0;0.5;50;240;72;2;63;16;4
Mocha with Nonfat Milk (Small);12 fl oz cup;270.0;30 cal;3,5;2.0;0.0;15;150;49;2;43;11;4
Mocha with Nonfat Milk (Medium);16 fl oz cup;330.0;30 cal;3,5;2.0;0.0;15;190;60;2;53;13;4
Mocha with Nonfat Milk (Large);20 fl oz cup;390.0;35 cal;4,0;2.5;0.0;20;240;73;2;64;17;4
Caramel Mocha (Small);12 fl oz cup;320.0;100 cal;11,0;7.0;0.0;35;170;45;1;40;10;4
Caramel Mocha (Medium);16 fl oz cup;390.0;120 cal;14,0;8.0;0.5;40;220;55;1;50;12;4
Caramel Mocha (Large);20 fl oz cup;480.0;150 cal;17,0;10.0;0.5;50;270;66;1;60;16;4
Nonfat Caramel Mocha (Small);12 fl oz cup;250.0;30 cal;3,5;2.0;0.0;15;170;45;1;41;10;4
Nonfat Caramel Mocha (Medium);16 fl oz cup;310.0;30 cal;3,5;2.0;0.0;15;210;56;1;51;13;4
Nonfat Caramel Mocha (Large);20 fl oz cup;370.0;35 cal;3,5;2.5;0.0;20;270;67;1;61;17;4
Hot Chocolate (Small);12 fl oz cup;360.0;120 cal;13,0;8.0;0.0;40;180;50;1;45;11;4
Hot Chocolate (Medium);16 fl oz cup;440.0;140 cal;16,0;9.0;0.5;50;220;61;1;56;14;4
Hot Chocolate (Large);20 fl oz cup;540.0;180 cal;20,0;12.0;0.5;60;280;73;1;68;17;4
Hot Chocolate with Nonfat Milk (Small);12 fl oz cup;280.0;30 cal;3,5;2.0;0.0;15;180;50;1;46;12;4
Hot Chocolate with Nonfat Milk (Medium);16 fl oz cup;340.0;30 cal;3,5;2.0;0.0;15;220;61;1;57;14;4
